1911.5221 	DATA 	RatingScale GSI: rating RT=10.615
1911.5221 	DATA 	RatingScale GSI: history=[(None, 0.0), ('11+', 7.006), ('11+', 10.615)]
1911.6457 	DATA 	Mouse:  Left button up, pos=(740,213)
1916.8016 	DATA 	Mouse: Left button down, pos=(1040,244)
1916.9525 	DATA 	Mouse:  Left button up, pos=(1040,244)
1922.7686 	DATA 	Mouse: Left button down, pos=(934,265)
1922.9018 	DATA 	Mouse:  Left button up, pos=(934,265)
1927.6816 	DATA 	Mouse: Left button down, pos=(831,262)
1927.8157 	DATA 	Mouse:  Left button up, pos=(831,262)
1930.3721 	DATA 	Mouse: Left button down, pos=(934,260)
1930.4895 	DATA 	Mouse:  Left button up, pos=(934,260)
1931.0915 	DATA 	Mouse: Left button down, pos=(750,221)
1931.0921 	DATA 	RatingScale GSI: (mouse response) rating=4-6
1931.0921 	DATA 	RatingScale GSI: rating RT=19.313
1931.0921 	DATA 	RatingScale GSI: history=[(None, 0.0), ('7+', 5.023), ('4-6', 10.99), ('3', 15.903), ('4-6', 18.593), ('4-6', 19.313)]
1931.2248 	DATA 	Mouse:  Left button up, pos=(750,221)
1936.5883 	DATA 	Mouse: Left button down, pos=(1049,265)
1936.7560 	DATA 	Mouse:  Left button up, pos=(1049,265)
1938.8274 	DATA 	Mouse: Left button down, pos=(754,209)
1938.8280 	DATA 	RatingScale GSI: (mouse response) rating=10+
1938.8280 	DATA 	RatingScale GSI: rating RT=7.473
1938.8280 	DATA 	RatingScale GSI: history=[(None, 0.0), ('10+', 5.234), ('10+', 7.473)]
1938.9604 	DATA 	Mouse:  Left button up, pos=(754,209)
1942.1688 	DATA 	Mouse: Left button down, pos=(510,252)
1942.2860 	DATA 	Mouse:  Left button up, pos=(510,252)
1943.6740 	DATA 	Mouse: Left button down, pos=(728,204)
1943.6747 	DATA 	RatingScale GSI: (mouse response) rating=1
1943.6748 	DATA 	RatingScale GSI: rating RT=4.592
1943.6748 	DATA 	RatingScale GSI: history=[(None, 0.0), ('1', 3.087), ('1', 4.592)]
1943.8114 	DATA 	Mouse:  Left button up, pos=(728,204)
1952.3811 	DATA 	Mouse: Left button down, pos=(613,262)
1952.5470 	DATA 	Mouse:  Left button up, pos=(613,262)
1953.3839 	DATA 	Mouse: Left button down, pos=(702,205)
1953.3845 	DATA 	RatingScale GSI: (mouse response) rating=30-60mins
1953.3845 	DATA 	RatingScale GSI: rating RT=9.447
1953.3846 	DATA 	RatingScale GSI: history=[(None, 0.0), ('30-60mins', 8.444), ('30-60mins', 9.447)]
1953.5182 	DATA 	Mouse:  Left button up, pos=(702,205)
