26.0112 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [2560, 1440]. Using actual size
1088.0243 	DATA 	Mouse: Left button down, pos=(1278,326)
1088.0260 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1088.1491 	DATA 	Mouse:  Left button up, pos=(1278,326)
1088.4918 	DATA 	Mouse: Left button down, pos=(1278,326)
1088.4928 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1088.6049 	DATA 	Mouse:  Left button up, pos=(1278,326)
1089.0211 	DATA 	Mouse: Left button down, pos=(1278,326)
1089.0221 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1089.1335 	DATA 	Mouse:  Left button up, pos=(1278,326)
1089.5568 	DATA 	Mouse: Left button down, pos=(1278,326)
1089.5576 	DATA 	RatingScale GSI: (mouse response) rating=Neither Agree
 or Disagree
1089.6610 	DATA 	Mouse:  Left button up, pos=(1278,326)
1091.0594 	DATA 	Mouse: Left button down, pos=(1465,459)
1091.1411 	DATA 	Mouse:  Left button up, pos=(1465,459)
1091.5591 	DATA 	Mouse: Left button down, pos=(1299,321)
1091.5616 	DATA 	RatingScale GSI: (mouse response) rating=4-5
1091.5616 	DATA 	RatingScale GSI: rating RT=1.668
1091.5616 	DATA 	RatingScale GSI: history=[(None, 0.0), ('4-5', 1.167), ('4-5', 1.668)]
1091.6609 	DATA 	Mouse:  Left button up, pos=(1299,322)
1092.1243 	DATA 	Mouse: Left button down, pos=(1296,413)
1092.2077 	DATA 	Mouse:  Left button up, pos=(1295,418)
1092.5745 	DATA 	Mouse: Left button down, pos=(1301,321)
1092.5754 	DATA 	RatingScale GSI: (mouse response) rating=1.5
1092.5754 	DATA 	RatingScale GSI: rating RT=0.748
1092.5754 	DATA 	RatingScale GSI: history=[(None, 0.0), ('1.5', 0.298), ('1.5', 0.748)]
1092.6689 	DATA 	Mouse:  Left button up, pos=(1301,321)
1093.2742 	DATA 	Mouse: Left button down, pos=(1298,430)
1093.3926 	DATA 	Mouse:  Left button up, pos=(1297,432)
1093.8090 	DATA 	Mouse: Left button down, pos=(1311,308)
1093.9095 	DATA 	RatingScale GSI: (mouse response) rating=3
1093.9095 	DATA 	RatingScale GSI: rating RT=1.063
1093.9095 	DATA 	RatingScale GSI: history=[(None, 0.0), ('3', 0.429), ('3', 1.063)]
1093.9250 	DATA 	Mouse:  Left button up, pos=(1311,312)
1094.7436 	DATA 	Mouse: Left button down, pos=(1457,472)
1094.8608 	DATA 	Mouse:  Left button up, pos=(1457,471)
1095.3100 	DATA 	Mouse: Left button down, pos=(1342,324)
1095.3108 	DATA 	RatingScale GSI: (mouse response) rating=3
1095.3108 	DATA 	RatingScale GSI: rating RT=1.133
1095.3109 	DATA 	RatingScale GSI: history=[(None, 0.0), ('3', 0.567), ('3', 1.133)]
1095.4129 	DATA 	Mouse:  Left button up, pos=(1342,325)
1096.1769 	DATA 	Mouse: Left button down, pos=(1648,480)
1096.2448 	DATA 	Mouse:  Left button up, pos=(1648,480)
1096.7449 	DATA 	Mouse: Left button down, pos=(1328,340)
1096.7458 	DATA 	RatingScale GSI: (mouse response) rating=6-9
1096.7458 	DATA 	RatingScale GSI: rating RT=1.158
1096.7458 	DATA 	RatingScale GSI: history=[(None, 0.0), ('6-9', 0.59), ('6-9', 1.158)]
1096.8290 	DATA 	Mouse:  Left button up, pos=(1328,340)
1097.7775 	DATA 	Mouse: Left button down, pos=(1396,461)
1097.8630 	DATA 	Mouse:  Left button up, pos=(1403,459)
1098.3787 	DATA 	Mouse: Left button down, pos=(1314,321)
1098.3796 	DATA 	RatingScale GSI: (mouse response) rating=4
1098.3796 	DATA 	RatingScale GSI: rating RT=1.373
1098.3797 	DATA 	RatingScale GSI: history=[(None, 0.0), ('4', 0.772), ('4', 1.373)]
1098.4691 	DATA 	Mouse:  Left button up, pos=(1314,322)
1099.8140 	DATA 	Mouse: Left button down, pos=(1284,478)
1099.8970 	DATA 	Mouse:  Left button up, pos=(1286,476)
1100.3644 	DATA 	Mouse: Left button down, pos=(1292,324)
1100.3654 	DATA 	RatingScale GSI: (mouse response) rating=60-90mins
1100.3654 	DATA 	RatingScale GSI: rating RT=1.715
1100.3655 	DATA 	RatingScale GSI: history=[(None, 0.0), ('60-90mins', 1.165), ('60-90mins', 1.715)]
1100.4610 	DATA 	Mouse:  Left button up, pos=(1292,323)
