1187.3261 	DATA 	Mouse: Left button down, pos=(1301,326)
1187.3268 	DATA 	RatingScale GSI: (mouse response) rating=3
1187.3268 	DATA 	RatingScale GSI: rating RT=0.904
1187.3268 	DATA 	RatingScale GSI: history=[(None, 0.0), ('3', 0.369), ('3', 0.904)]
1187.4331 	DATA 	Mouse:  Left button up, pos=(1301,326)
1188.1082 	DATA 	Mouse: Left button down, pos=(1289,448)
1188.1930 	DATA 	Mouse:  Left button up, pos=(1289,447)
1188.5589 	DATA 	Mouse: Left button down, pos=(1291,324)
1188.5600 	DATA 	RatingScale GSI: (mouse response) rating=2
1188.5601 	DATA 	RatingScale GSI: rating RT=0.977
1188.5601 	DATA 	RatingScale GSI: history=[(None, 0.0), ('2', 0.526), ('2', 0.977)]
1188.6570 	DATA 	Mouse:  Left button up, pos=(1291,325)
1189.2089 	DATA 	Mouse: Left button down, pos=(1280,442)
1189.3089 	DATA 	Mouse:  Left button up, pos=(1280,443)
1189.7609 	DATA 	Mouse: Left button down, pos=(1280,327)
1189.7618 	DATA 	RatingScale GSI: (mouse response) rating=2
1189.7618 	DATA 	RatingScale GSI: rating RT=0.935
1189.7619 	DATA 	RatingScale GSI: history=[(None, 0.0), ('2', 0.382), ('2', 0.935)]
1189.8650 	DATA 	Mouse:  Left button up, pos=(1281,327)
1190.5763 	DATA 	Mouse: Left button down, pos=(1284,437)
1190.6776 	DATA 	Mouse:  Left button up, pos=(1285,438)
1191.2449 	DATA 	Mouse: Left button down, pos=(1280,323)
1191.2462 	DATA 	RatingScale GSI: (mouse response) rating=3
1191.2462 	DATA 	RatingScale GSI: rating RT=1.230
1191.2462 	DATA 	RatingScale GSI: history=[(None, 0.0), ('3', 0.561), ('3', 1.23)]
1191.3532 	DATA 	Mouse:  Left button up, pos=(1280,324)
1192.1122 	DATA 	Mouse: Left button down, pos=(1279,480)
1192.1962 	DATA 	Mouse:  Left button up, pos=(1279,480)
1193.0829 	DATA 	Mouse: Left button down, pos=(1277,311)
1193.0845 	DATA 	RatingScale GSI: (mouse response) rating=60-90mins
1193.0846 	DATA 	RatingScale GSI: rating RT=1.571
1193.0846 	DATA 	RatingScale GSI: history=[(None, 0.0), ('60-90mins', 0.599), ('60-90mins', 1.571)]
1193.2010 	DATA 	Mouse:  Left button up, pos=(1277,312)
